gene,category,base_mean_count,dispersion_alpha,deseq2_base_mean,de_log2_fc,de_pvalue,fdr,disease_sex_log2_fc,disease_sex_pvalue,disease_sex_fdr,mean_count,de_significant,neg_log10_fdr,lightgbm_gain,gain_rank,nonzero_gain
G238,noise,62.46208933020229,0.2440873991970075,54.687589510030975,0.056315865194784646,0.5085577993079372,0.8455994142356438,-0.32990539745301084,0.05161767152618734,0.7442666145038506,59.478125,False,0.07283532654537438,4.197668075561523,35,True
G239,noise,49.45373544986527,0.2819882748619451,43.89407649438429,0.08839501179714962,0.31935775228198804,0.7486989444578076,0.1277637720704733,0.4715824744513849,0.8914526937116752,47.075,False,0.12569277915521565,0.6531220078468323,62,True
G240,noise,130.88360108896245,0.16876338918794448,117.41710088092945,0.03183648036886286,0.6310072107459921,0.8828311893464568,0.32487340523900304,0.01343798153911399,0.5123230461787208,127.209375,False,0.05412233214632842,0.18415799736976624,69,True
G241,noise,36.86915978517626,0.34410645787535876,34.85897583468379,-0.09128488288756319,0.328936585433922,0.7486989444578076,-0.06047537892040868,0.7464691166411253,0.9696851575762189,37.634375,False,0.12569277915521565,0.0,153,False
G242,noise,63.22795984152058,0.2423420907863909,57.77350142862726,0.07877349955771035,0.32851192994062406,0.7486989444578076,-0.025900913481848472,0.8724200214465622,0.9915857195058293,63.6,False,0.12569277915521565,0.0,154,False
G243,noise,21.218842620592284,0.524151314985755,19.41907734228415,0.04413031054152285,0.7230820637948475,0.8905696636826905,0.3930962994482882,0.11342431571931418,0.7854205743087944,20.8625,False,0.050332102736797536,0.0,155,False
G244,noise,83.72600058668546,0.20749348991872457,79.88724233571952,-0.14525960394287923,0.06888149490746333,0.40969676314046055,-0.0897246422192821,0.5741752319862559,0.9415239019129465,86.175,False,0.3875374672301377,0.0,156,False
G245,noise,70.80892722343827,0.22710261760639885,64.18122175187396,-0.15985768306553136,0.031895275313448185,0.25699639277763753,0.038414398812445134,0.796610452216418,0.97186475170403,69.8625,False,0.5900729724187499,0.0,157,False
G246,noise,44.02395897562493,0.30443413562562827,39.67892602707203,0.04753109607190061,0.5952695602841189,0.8795137428969753,0.17538108770479185,0.32654933236268957,0.8555733005205621,42.784375,False,0.05575737005792281,0.0,158,False
G247,noise,83.61381859478479,0.20763771050352858,79.45076723991119,-0.13901783113649852,0.0808730328693889,0.4327416671081336,0.10376137925761247,0.5146143860840993,0.8914526937116752,86.878125,False,0.3637712861649863,0.43027400970458984,66,True
G248,noise,88.93848254748313,0.20119354122322713,84.1297874896675,0.0873714407827004,0.23119565998457647,0.693598312976098,-0.06803019736574109,0.6411517897178665,0.949730333487275,91.628125,False,0.15889197185546566,0.0,159,False
G249,noise,69.7066871062365,0.22911243344965665,63.80679473137245,0.06037882035803107,0.44439864284480346,0.8340294915545284,0.05308071907405033,0.7367860325678637,0.9696851575762189,69.05625,False,0.0788185922963813,0.0,160,False
G250,noise,71.26805188657353,0.22628379423537387,65.55776661839663,0.025699199263443696,0.7367146788593114,0.8905696636826905,-0.10746047382178772,0.4819517602206288,0.8914526937116752,71.434375,False,0.050332102736797536,0.0,161,False
G251,noise,36.54676539729295,0.34625982360306606,34.26084981954641,-0.08063388844797574,0.40752531515567236,0.8019046524030973,0.21845383045622319,0.26125718699427714,0.8201535051288666,37.446875,False,0.09587726687405407,0.0,162,False
G252,noise,25.518871140562243,0.4526801773646837,23.3022571648938,-0.06966749271881975,0.5150089424046826,0.8490687969374497,-0.262784335231624,0.218731630689317,0.8201535051288666,25.734375,False,0.07105711903777195,0.0,149,False
G253,noise,58.501886853002325,0.2538411918681238,53.949638812827416,-0.13233551446627742,0.1506395829140005,0.574313409859627,0.0635682284958607,0.7299823165470039,0.9696851575762189,57.646875,False,0.24085104309538377,0.0,163,False
G254,noise,39.46173691695941,0.3280690284601255,39.11753388056625,0.12899660969543528,0.163327778717812,0.579243866382938,-0.06533965713275681,0.7241127489435959,0.9696851575762189,42.634375,False,0.23713855626072752,0.0,116,False
G255,noise,33.99912199487374,0.3647127182095169,32.38036152606803,-0.034381932475505715,0.7525996159992818,0.8905696636826905,0.3360362793919452,0.1223880326564722,0.7854205743087944,35.26875,False,0.050332102736797536,0.0,166,False
